feature,total_freq,doc_freq,prevalence,entropy,entropy_norm,gini,idf_like,idf_norm,weighted_score,prior_mult,final_raw,variant_likelihood,label
b deleted,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
b for d,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
b for e,2.0,2.0,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.5228787452803376,0.42368931070804594,1.0,0.42368931070804594,0.38749263237107945,reading
b for z,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
b for β,4.0,3.0,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.3979400086720376,0.4650772496747986,1.0,0.4650772496747986,0.4478066995293962,reading
c deleted,12.0,5.0,0.5,2.188721875540867,0.658870936703728,0.6166666666666666,0.5108256237659907,0.22184874961635637,0.5271617132850521,1.0,0.5271617132850521,0.5406526342306194,reading
c for h,2.0,2.0,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.5228787452803376,0.42368931070804594,1.0,0.42368931070804594,0.38749263237107945,reading
c for j,5.0,3.0,0.3,1.3709505944546687,0.4126972515042214,0.78,0.9162907318741551,0.3979400086720376,0.46286531417686094,1.0,0.46286531417686094,0.44452726978353635,reading
c for m,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
c for s,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
c for t,5.0,3.0,0.3,1.5219280948873621,0.45814600780483383,0.74,0.9162907318741551,0.3979400086720376,0.46422750325201406,1.0,0.46422750325201406,0.44654630699648845,reading
c for ą,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
c for ŋ,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
c inserted,19.0,9.0,0.9,2.925853014561283,0.8807695202868293,0.38421052631578945,0.0,0.0,0.6312450116506547,1.0,0.6312450116506547,0.6872878475593786,variant
d deleted,9.0,4.0,0.4,1.657742726504889,0.4990302857717631,0.7444444444444445,0.6931471805599453,0.30102999566398114,0.496023181903649,1.0,0.496023181903649,0.4940350558610332,reading
d for aē,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
d for g,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
d for h,4.0,3.0,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.3979400086720376,0.4650772496747986,1.0,0.4650772496747986,0.4478066995293962,reading
d for i,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
d for m,6.0,2.0,0.2,0.6500224216483541,0.1956762467702946,0.8666666666666666,1.2039728043259361,0.5228787452803376,0.4140175401512909,1.0,0.4140175401512909,0.373812676288446,reading
d for p,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
d for s,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
