feature,total_freq,doc_freq,variant_likelihood,label
ōi for aō,79.0,7,0.2790887780512703,reading
ōi for ii,3.0,3,0.5293502773331971,reading
ōi for n,1.0,1,0.0,reading
ōi for o,7.0,2,0.9386522159315634,variant
ōi for ō,64.0,9,0.1292061451058984,reading
ōi for ə̄,1.0,1,0.0,reading
ōi inserted,3.0,3,0.7562146819045672,variant
š deleted,24.0,9,0.0345878791173688,reading
š for e,1.0,1,0.0,reading
š for i,1.0,1,0.0,reading
š for m,3.0,2,0.663436384595441,reading
š for o,16.0,2,0.6873673844219694,reading
š for s,24.0,8,0.0851107232383725,reading
š for t,1.0,1,0.0,reading
š for ā,4.0,1,0.0,reading
š for ē,3.0,2,0.663436384595441,reading
š for ō,1.0,1,0.0,reading
š for š́,36.0,8,0.074372371850381,reading
š for ū,1.0,1,0.0,reading
š for ə,3.0,2,0.663436384595441,reading
š for ṣ̌,239.0,9,0.0623646098043922,reading
š inserted,25.0,8,0.0690520898177361,reading
š́ for e,1.0,1,0.0,reading
š́ for š,33.0,9,0.0356046555665177,reading
š́ for ṣ̌,6.0,4,0.1768077311801129,reading
ū deleted,10.0,5,0.1538962544237782,reading
ū for a,4.0,3,0.5421331587983224,reading
ū for au,1.0,1,0.0,reading
ū for aē,6.0,4,0.4420193279502823,reading
ū for aō,1.0,1,0.0,reading
ū for i,6.0,4,0.4535633970788678,reading
ū for o,1.0,1,0.0,reading
ū for u,12.0,4,0.1863338597139054,reading
ū for ā,1.0,1,0.0,reading
ū for ą,2.0,2,0.0,reading
ū for ē,5.0,4,0.4406511833228942,reading
ū for ī,1239.0,8,0.1692478126058114,reading
ū for ō,1.0,1,0.0,reading
ū for ə̄,24.0,2,0.7032219172671613,reading
ū inserted,6.0,2,0.2724817783283734,reading
ž for c,1.0,1,0.0,reading
ž for k,1.0,1,0.0,reading
ž for β,1.0,1,0.0,reading
ə deleted,64.0,10,0.0228104464827499,reading
ə for a,102.0,10,0.0718706590479322,reading
ə for aē,1.0,1,0.0,reading
ə for e,10.0,5,0.3541265083892739,reading
ə for i,69.0,8,0.152047725542017,reading
ə for m,1.0,1,0.0,reading
ə for o,1.0,1,0.0,reading
ə for s,1.0,1,0.0,reading
ə for t,1.0,1,0.0,reading
ə for u,1.0,1,0.0,reading
ə for w,1.0,1,0.0,reading
ə for ā,4.0,3,0.7744759411404606,variant
ə for ā̊,2.0,1,0.0,reading
ə for ą,14.0,5,0.5366403316335171,reading
ə for ą̇,6.0,2,0.947766263707773,variant
ə for ē,1.0,1,0.0,reading
ə for ī,6.0,4,0.4420193279502824,reading
ə for ō,2.0,2,0.0,reading
ə for š,1.0,1,0.0,reading
ə for ə̄,19.0,7,0.0857249431346303,reading
ə for ə̄u,8.0,8,0.1095692106100701,reading
ə inserted,326.0,9,0.0586812413070699,reading
ə̄ for aē,6.0,4,0.4535633970788678,reading
ə̄ for e,1.0,1,0.0,reading
ə̄ for i,1.0,1,0.0,reading
ə̄ for ē,2.0,2,0.0,reading
ə̄ for ī,4.0,4,0.4263551722963961,reading
ə̄ for ə,30.0,10,0.0140691814112134,reading
ə̄ inserted,8.0,4,0.657078339730615,reading
ə̄u for ī,1.0,1,0.0,reading
ə̄u for ə,6.0,3,0.5469416065707711,reading
ə̄u for ə̄,3.0,2,0.663436384595441,reading
ə̄u inserted,1.0,1,0.0,reading
ɱ for h,519.0,9,0.1327363945112201,reading
ɱ for m,20.0,3,0.8636837923738167,variant
ɱ for r,1.0,1,0.0,reading
β deleted,1.0,1,0.0,reading
β for ii,1.0,1,0.0,reading
β for r,1.0,1,0.0,reading
β for uu,1.0,1,0.0,reading
β for v,4.0,1,0.0,reading
β for ß,2.0,1,0.0,reading
β inserted,2.0,1,0.0,reading
γ for k,1.0,1,0.0,reading
γ for ɤ,2.0,1,0.0,reading
γ inserted,1.0,1,0.0,reading
δ deleted,8.0,5,0.2017507743969401,reading
δ for d,20.0,6,0.437506264528706,reading
δ for ii,3.0,2,0.663436384595441,reading
δ for m,2.0,1,0.0,reading
δ for o,5.0,1,0.0,reading
δ for r,1.0,1,0.0,reading
δ for t,14.0,5,0.524129853105248,reading
δ for t̰,4.0,1,0.0,reading
δ for š,1.0,1,0.0,reading
δ for γ,1.0,1,0.0,reading
δ for ϑ,8.0,6,0.3954778375256926,reading
δ inserted,6.0,5,0.2008462069911608,reading
ϑ deleted,19.0,7,0.1353268683683063,reading
ϑ for d,2.0,1,0.0,reading
ϑ for i,4.0,3,0.5421331587983224,reading
ϑ for m,1.0,1,0.0,reading
ϑ for o,1.0,1,0.0,reading
ϑ for s,23.0,2,0.6938741096613908,reading
ϑ for t,51.0,8,0.2918320401198316,reading
ϑ for z,1.0,1,0.0,reading
ϑ for δ,7.0,5,0.5080321310598026,reading
ϑ inserted,13.0,3,0.3222896640410275,reading
ṇ deleted,4.0,3,0.2168532635193289,reading
ṇ for i,1.0,1,0.0,reading
ṇ for n,20.0,5,0.149565865598933,reading
ṇ for ŋ,2.0,2,0.0,reading
ṇ for ̄,1.0,1,0.0,reading
ṇ inserted,48.0,9,0.045325608800209,reading
ṣ̌ deleted,1.0,1,0.0,reading
ṣ̌ for r,2.0,1,0.0,reading
ṣ̌ for š,667.0,9,0.0845071556852037,reading
ṣ̌ for š́,57.0,8,0.0632743060991369,reading
ṣ̌ inserted,21.0,4,0.7327030426918826,variant
⸳ inserted,1.0,1,0.0,reading
