app_id,stanza,lemma,app_relevance,mean_variant_likelihood,variant_rdgs,reading_rdgs
app-Y1.13-2-2,Y1.13,ńiuuaēδaiiemi. haṇkāraiiemi. tauua.,meaningful,0.7379885664320962,73,0
app-Y1.13-8-8,Y1.13,vīspaēibiiō. ātərəbiiō. ńiuuaēδaiiemi.,meaningful,0.7390246646116266,72,0
app-Y1.13-11-11,Y1.13,haṇkāraiiemi. aiβiiō. vaŋᵛhībiiō. vīspanąmca.,meaningful,0.7390246646116266,72,0
app-Y1.13-13-14,Y1.13,haṇkāraiiemi. aiβiiō. vaŋᵛhībiiō. vīspanąmca.,meaningful,0.7390246646116266,72,0
app-Y1.13-17-17,Y1.13,apąm. mazdaδātanąm. vīspanąmca.,meaningful,0.7390246646116266,72,0
app-Y1.13-19-19,Y1.13,uruuaranąm. mazdaδātanąm.,meaningful,0.7390246646116266,72,0
app-Y1.15-2-2,Y1.15,garōiš. uši.darənahe. mazdaδātahe.,meaningful,0.7390246646116266,72,0
app-Y1.15-5-5,Y1.15,aṣ̌a.xᵛāϑrahe. vīspaēšąmca. gairinąm.,meaningful,0.7390246646116266,72,0
app-Y1.15-7-8,Y1.15,aṣ̌a.xᵛāϑrahe. vīspaēšąmca. gairinąm.,meaningful,0.7390246646116266,72,0
app-Y1.15-15-15,Y1.15,aṣ̌a.xᵛāϑranąm. pouru.xᵛāϑranąm. mazdaδātanąm. kāuuaiieheca. xᵛarənaŋhō. mazdaδātahe. axᵛarətaheca. xᵛarənaŋhō. mazdaδātahe.,meaningful,0.7390246646116266,72,0
app-Y1.15-19-19,Y1.15,aṣ̌ōiš. vaŋhuiiā̊. cistōiš. vaŋhuiiā̊. ərəϑə̄. vaŋhuiiā̊. rasąstātō. vaŋhuiiā̊. xᵛarənaŋhō. sauuaŋhō. mazdaδātahe.,meaningful,0.7390246646116266,73,0
app-Y1.16-5-5,Y1.16,daɱaheca.,meaningful,0.7390246646116266,72,0
app-Y1.17-1-1,Y1.17,haṇkāraiiemi.,meaningful,0.7389820822089112,73,0
app-Y1.17-4-4,Y1.17,šōiϑranąmca.,meaningful,0.7390246646116266,72,0
app-Y1.17-11-11,Y1.17,maēϑananąmca. auuō.xᵛarənanąmca. apąmca. zəmąmca. uruuaranąmca. aiŋ́hā̊sca. zəmō. auuaŋ́heca. ašnō. vātaheca. aṣ̌aōnō. strąm. mā̊ŋhō. hūrō. anaγranąm. raōcaŋhąm. xᵛaδātanąm. vīspanąmca. spəṇtahe. maińiiə̄uš. dāmanąm. aṣ̌aōnąm. aṣ̌aōninąmca. aṣ̌ahe. raϑβąm.,meaningful,0.7390246646116266,72,0
app-Y1.17-14-14,Y1.17,maēϑananąmca. auuō.xᵛarənanąmca. apąmca. zəmąmca. uruuaranąmca. aiŋ́hā̊sca. zəmō. auuaŋ́heca. ašnō. vātaheca. aṣ̌aōnō. strąm. mā̊ŋhō. hūrō. anaγranąm. raōcaŋhąm. xᵛaδātanąm. vīspanąmca. spəṇtahe. maińiiə̄uš. dāmanąm. aṣ̌aōnąm. aṣ̌aōninąmca. aṣ̌ahe. raϑβąm.,meaningful,0.7390246646116266,72,0
app-Y1.17-19-19,Y1.17,maēϑananąmca. auuō.xᵛarənanąmca. apąmca. zəmąmca. uruuaranąmca. aiŋ́hā̊sca. zəmō. auuaŋ́heca. ašnō. vātaheca. aṣ̌aōnō. strąm. mā̊ŋhō. hūrō. anaγranąm. raōcaŋhąm. xᵛaδātanąm. vīspanąmca. spəṇtahe. maińiiə̄uš. dāmanąm. aṣ̌aōnąm. aṣ̌aōninąmca. aṣ̌ahe. raϑβąm.,meaningful,0.7390246646116266,72,0
app-Y1.17-30-30,Y1.17,maēϑananąmca. auuō.xᵛarənanąmca. apąmca. zəmąmca. uruuaranąmca. aiŋ́hā̊sca. zəmō. auuaŋ́heca. ašnō. vātaheca. aṣ̌aōnō. strąm. mā̊ŋhō. hūrō. anaγranąm. raōcaŋhąm. xᵛaδātanąm. vīspanąmca. spəṇtahe. maińiiə̄uš. dāmanąm. aṣ̌aōnąm. aṣ̌aōninąmca. aṣ̌ahe. raϑβąm.,meaningful,0.7390246646116266,72,0
app-Y1.18-11-11,Y1.18,asńiianąmca.,meaningful,0.7390246646116266,72,0
app-Y1.19-2-3,Y1.19,ńiuuaēδaiiemi. haṇkāraiiemi. aṣ̌āunąm. frauuaṣ̌inąm. uγranąm. aiβiϑūranąm. paōiriiō.t̰kaēšanąm. frauuaṣ̌inąm. nabānazdištanąm. frauuaṣ̌inąm. hauuahe. urunō. frauuaṣ̌ə̄e.,meaningful,0.7388521823815758,73,0
app-Y1.19-5-5,Y1.19,ńiuuaēδaiiemi. haṇkāraiiemi. aṣ̌āunąm. frauuaṣ̌inąm. uγranąm. aiβiϑūranąm. paōiriiō.t̰kaēšanąm. frauuaṣ̌inąm. nabānazdištanąm. frauuaṣ̌inąm. hauuahe. urunō. frauuaṣ̌ə̄e.,meaningful,0.7390246646116266,72,0
app-Y1.19-7-7,Y1.19,ńiuuaēδaiiemi. haṇkāraiiemi. aṣ̌āunąm. frauuaṣ̌inąm. uγranąm. aiβiϑūranąm. paōiriiō.t̰kaēšanąm. frauuaṣ̌inąm. nabānazdištanąm. frauuaṣ̌inąm. hauuahe. urunō. frauuaṣ̌ə̄e.,meaningful,0.7390246646116266,72,0
app-Y1.19-9-9,Y1.19,ńiuuaēδaiiemi. haṇkāraiiemi. aṣ̌āunąm. frauuaṣ̌inąm. uγranąm. aiβiϑūranąm. paōiriiō.t̰kaēšanąm. frauuaṣ̌inąm. nabānazdištanąm. frauuaṣ̌inąm. hauuahe. urunō. frauuaṣ̌ə̄e.,meaningful,0.7390246646116266,72,0
app-Y1.19-11-12,Y1.19,ńiuuaēδaiiemi. haṇkāraiiemi. aṣ̌āunąm. frauuaṣ̌inąm. uγranąm. aiβiϑūranąm. paōiriiō.t̰kaēšanąm. frauuaṣ̌inąm. nabānazdištanąm. frauuaṣ̌inąm. hauuahe. urunō. frauuaṣ̌ə̄e.,meaningful,0.7390246646116266,72,0
