app_id,wit,lem,rdg,leading_punct_added,trailing_punct_added,cv_tail_absorbed
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0083,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0400,ərənāuui.,ərənāuua.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-3-4,#ms0015,maṣ̌iiō.,maš́iiaō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
